,state,fips,cases,deaths,employed-sugar-intake-daily,Winning Party,Democrats,Republicans
279,California,6,931843,17627,22.9,Democrats,1,0
280,California,6,935262,17661,22.9,Democrats,1,0
281,California,6,938897,17671,22.9,Democrats,1,0
282,California,6,944148,17700,22.9,Democrats,1,0
283,California,6,949390,17751,22.9,Democrats,1,0
284,California,6,954629,17818,22.9,Democrats,1,0
285,California,6,960905,17866,22.9,Democrats,1,0
286,California,6,967618,17939,22.9,Democrats,1,0
287,California,6,972821,17964,22.9,Democrats,1,0
288,California,6,978861,17975,22.9,Democrats,1,0
289,California,6,985623,18035,22.9,Democrats,1,0
290,California,6,994366,18073,22.9,Democrats,1,0
291,California,6,999516,18109,22.9,Democrats,1,0
292,California,6,1009216,18141,22.9,Democrats,1,0
293,California,6,1019080,18218,22.9,Democrats,1,0
294,California,6,1027044,18254,22.9,Democrats,1,0
295,California,6,1036008,18265,22.9,Democrats,1,0
296,California,6,1047390,18304,22.9,Democrats,1,0
297,California,6,1058123,18360,22.9,Democrats,1,0
298,California,6,1069544,18467,22.9,Democrats,1,0
299,California,6,1082705,18555,22.9,Democrats,1,0
300,California,6,1096427,18649,22.9,Democrats,1,0
301,California,6,1109869,18709,22.9,Democrats,1,0
302,California,6,1118673,18726,22.9,Democrats,1,0
303,California,6,1136498,18768,22.9,Democrats,1,0
304,California,6,1153032,18875,22.9,Democrats,1,0
305,California,6,1167176,18982,22.9,Democrats,1,0
306,California,6,1176159,19025,22.9,Democrats,1,0
307,California,6,1193089,19100,22.9,Democrats,1,0
308,California,6,1206296,19132,22.9,Democrats,1,0
309,California,6,1219511,19151,22.9,Democrats,1,0
310,California,6,1237238,19209,22.9,Democrats,1,0
311,California,6,1253905,19327,22.9,Democrats,1,0
312,California,6,1272079,19440,22.9,Democrats,1,0
313,California,6,1293937,19586,22.9,Democrats,1,0
314,California,6,1318188,19791,22.9,Democrats,1,0
315,California,6,1343193,19876,22.9,Democrats,1,0
316,California,6,1371985,19937,22.9,Democrats,1,0
317,California,6,1399239,20052,22.9,Democrats,1,0
318,California,6,1425501,20238,22.9,Democrats,1,0
319,California,6,1457273,20466,22.9,Democrats,1,0
320,California,6,1491132,20636,22.9,Democrats,1,0
321,California,6,1528237,20854,22.9,Democrats,1,0
322,California,6,1554920,20958,22.9,Democrats,1,0
323,California,6,1590726,21043,22.9,Democrats,1,0
324,California,6,1620916,21196,22.9,Democrats,1,0
325,California,6,1655166,21483,22.9,Democrats,1,0
326,California,6,1716108,21881,22.9,Democrats,1,0
327,California,6,1761430,22155,22.9,Democrats,1,0
328,California,6,1809673,22496,22.9,Democrats,1,0
329,California,6,1847031,22651,22.9,Democrats,1,0
330,California,6,1889914,22736,22.9,Democrats,1,0
331,California,6,1933169,22980,22.9,Democrats,1,0
332,California,6,1968541,23254,22.9,Democrats,1,0
333,California,6,2013298,23633,22.9,Democrats,1,0
334,California,6,2048014,23944,22.9,Democrats,1,0
335,California,6,2064763,23964,22.9,Democrats,1,0
336,California,6,2129749,24221,22.9,Democrats,1,0
337,California,6,2167303,24283,22.9,Democrats,1,0
338,California,6,2209024,24529,22.9,Democrats,1,0
339,California,6,2243191,24954,22.9,Democrats,1,0
340,California,6,2275565,25391,22.9,Democrats,1,0
341,California,6,2307860,25965,22.9,Democrats,1,0
342,California,6,2345811,26236,22.9,Democrats,1,0
343,California,6,2398005,26542,22.9,Democrats,1,0
344,California,6,2433916,26635,22.9,Democrats,1,0
345,California,6,2474639,26995,22.9,Democrats,1,0
346,California,6,2511923,27486,22.9,Democrats,1,0
347,California,6,2548830,28040,22.9,Democrats,1,0
348,California,6,2589250,28554,22.9,Democrats,1,0
349,California,6,2640221,29228,22.9,Democrats,1,0
350,California,6,2687450,29699,22.9,Democrats,1,0
351,California,6,2729858,30000,22.9,Democrats,1,0
352,California,6,2770482,30381,22.9,Democrats,1,0
353,California,6,2816366,31105,22.9,Democrats,1,0
354,California,6,2858041,31653,22.9,Democrats,1,0
355,California,6,2898756,32246,22.9,Democrats,1,0
356,California,6,2937860,32947,22.9,Democrats,1,0
357,California,6,2975419,33393,22.9,Democrats,1,0
358,California,6,3006966,33593,22.9,Democrats,1,0
359,California,6,3032359,33742,22.9,Democrats,1,0
360,California,6,3071465,34390,22.9,Democrats,1,0
361,California,6,3090794,35001,22.9,Democrats,1,0
362,California,6,3116369,35704,22.9,Democrats,1,0
363,California,6,3141404,36326,22.9,Democrats,1,0
364,California,6,3164386,36818,22.9,Democrats,1,0
365,California,6,3186036,37118,22.9,Democrats,1,0
366,California,6,3212939,37499,22.9,Democrats,1,0
367,California,6,3234571,38222,22.9,Democrats,1,0
368,California,6,3253201,38927,22.9,Democrats,1,0
369,California,6,3272829,39527,22.9,Democrats,1,0
370,California,6,3292572,40192,22.9,Democrats,1,0
371,California,6,3310100,40694,22.9,Democrats,1,0
372,California,6,3324064,40928,22.9,Democrats,1,0
373,California,6,3341656,41284,22.9,Democrats,1,0
374,California,6,3354544,41858,22.9,Democrats,1,0
375,California,6,3367104,42434,22.9,Democrats,1,0
376,California,6,3381785,43062,22.9,Democrats,1,0
377,California,6,3395797,43631,22.9,Democrats,1,0
378,California,6,3407369,43987,22.9,Democrats,1,0
379,California,6,3417563,44152,22.9,Democrats,1,0
380,California,6,3431179,44440,22.9,Democrats,1,0
381,California,6,3441692,44973,22.9,Democrats,1,0
382,California,6,3450284,45436,22.9,Democrats,1,0
383,California,6,3460901,45976,22.9,Democrats,1,0
384,California,6,3470426,46435,22.9,Democrats,1,0
385,California,6,3479586,46865,22.9,Democrats,1,0
386,California,6,3485533,47055,22.9,Democrats,1,0
387,California,6,3490542,47115,22.9,Democrats,1,0
388,California,6,3499336,47446,22.9,Democrats,1,0
389,California,6,3505610,47902,22.9,Democrats,1,0
390,California,6,3513458,48334,22.9,Democrats,1,0
391,California,6,3521349,48794,22.9,Democrats,1,0
392,California,6,3527411,49111,22.9,Democrats,1,0
393,California,6,3532057,49340,22.9,Democrats,1,0
394,California,6,3537033,49531,22.9,Democrats,1,0
395,California,6,3543293,49869,22.9,Democrats,1,0
396,California,6,3549145,50953,22.9,Democrats,1,0
397,California,6,3554779,51385,22.9,Democrats,1,0
398,California,6,3561681,51794,22.9,Democrats,1,0
399,California,6,3566089,51979,22.9,Democrats,1,0
400,California,6,3569578,52213,22.9,Democrats,1,0
401,California,6,3573775,52487,22.9,Democrats,1,0
402,California,6,3578092,52774,22.9,Democrats,1,0
403,California,6,3582495,53066,22.9,Democrats,1,0
404,California,6,3587750,53457,22.9,Democrats,1,0
405,California,6,3592812,53838,22.9,Democrats,1,0
406,California,6,3597075,54124,22.9,Democrats,1,0
407,California,6,3599828,54217,22.9,Democrats,1,0
408,California,6,3604005,54377,22.9,Democrats,1,0
409,California,6,3608146,54620,22.9,Democrats,1,0
410,California,6,3611614,54877,22.9,Democrats,1,0
411,California,6,3615174,55132,22.9,Democrats,1,0
412,California,6,3617479,55336,22.9,Democrats,1,0
413,California,6,3621217,56373,22.9,Democrats,1,0
414,California,6,3623465,56523,22.9,Democrats,1,0
415,California,6,3626427,56630,22.9,Democrats,1,0
416,California,6,3628489,56743,22.9,Democrats,1,0
417,California,6,3631857,56976,22.9,Democrats,1,0
418,California,6,3635429,57213,22.9,Democrats,1,0
419,California,6,3638641,57417,22.9,Democrats,1,0
420,California,6,3640830,57495,22.9,Democrats,1,0
421,California,6,3642778,57586,22.9,Democrats,1,0
422,California,6,3645684,57770,22.9,Democrats,1,0
423,California,6,3648181,57936,22.9,Democrats,1,0
424,California,6,3650958,58187,22.9,Democrats,1,0
425,California,6,3653449,58413,22.9,Democrats,1,0
426,California,6,3656822,58630,22.9,Democrats,1,0
427,California,6,3658932,58801,22.9,Democrats,1,0
428,California,6,3661102,58927,22.9,Democrats,1,0
429,California,6,3664161,59015,22.9,Democrats,1,0
430,California,6,3666541,59116,22.9,Democrats,1,0
431,California,6,3669048,59260,22.9,Democrats,1,0
432,California,6,3671690,59396,22.9,Democrats,1,0
433,California,6,3675457,59601,22.9,Democrats,1,0
434,California,6,3678343,59675,22.9,Democrats,1,0
435,California,6,3679968,59726,22.9,Democrats,1,0
436,California,6,3683077,59788,22.9,Democrats,1,0
437,California,6,3685338,59874,22.9,Democrats,1,0
438,California,6,3687758,59976,22.9,Democrats,1,0
439,California,6,3690309,60115,22.9,Democrats,1,0
440,California,6,3693923,60272,22.9,Democrats,1,0
441,California,6,3696900,60361,22.9,Democrats,1,0
442,California,6,3700795,60446,22.9,Democrats,1,0
443,California,6,3704295,60484,22.9,Democrats,1,0
444,California,6,3706904,60535,22.9,Democrats,1,0
445,California,6,3709392,60710,22.9,Democrats,1,0
446,California,6,3711717,60797,22.9,Democrats,1,0
447,California,6,3714542,60911,22.9,Democrats,1,0
448,California,6,3716759,60977,22.9,Democrats,1,0
449,California,6,3718367,61022,22.9,Democrats,1,0
450,California,6,3720922,61034,22.9,Democrats,1,0
451,California,6,3723405,61111,22.9,Democrats,1,0
452,California,6,3725355,61199,22.9,Democrats,1,0
453,California,6,3727911,61290,22.9,Democrats,1,0
454,California,6,3730175,61390,22.9,Democrats,1,0
455,California,6,3730549,61428,22.9,Democrats,1,0
456,California,6,3731900,61463,22.9,Democrats,1,0
457,California,6,3734630,61485,22.9,Democrats,1,0
458,California,6,3736753,61504,22.9,Democrats,1,0
459,California,6,3738507,61571,22.9,Democrats,1,0
460,California,6,3739891,61650,22.9,Democrats,1,0
461,California,6,3742224,61756,22.9,Democrats,1,0
462,California,6,3743780,61853,22.9,Democrats,1,0
463,California,6,3745139,61924,22.9,Democrats,1,0
464,California,6,3747389,61961,22.9,Democrats,1,0
465,California,6,3749576,62016,22.9,Democrats,1,0
466,California,6,3751248,62065,22.9,Democrats,1,0
467,California,6,3753796,62169,22.9,Democrats,1,0
468,California,6,3755950,62211,22.9,Democrats,1,0
469,California,6,3757249,62270,22.9,Democrats,1,0
470,California,6,3758303,62310,22.9,Democrats,1,0
471,California,6,3760386,62332,22.9,Democrats,1,0
472,California,6,3761977,62363,22.9,Democrats,1,0
473,California,6,3763580,62468,22.9,Democrats,1,0
474,California,6,3765346,62573,22.9,Democrats,1,0
475,California,6,3766941,62626,22.9,Democrats,1,0
476,California,6,3768252,62647,22.9,Democrats,1,0
477,California,6,3769052,62681,22.9,Democrats,1,0
478,California,6,3770344,62701,22.9,Democrats,1,0
479,California,6,3771421,62723,22.9,Democrats,1,0
480,California,6,3773011,62760,22.9,Democrats,1,0
481,California,6,3774570,62811,22.9,Democrats,1,0
482,California,6,3775904,62857,22.9,Democrats,1,0
483,California,6,3776679,62903,22.9,Democrats,1,0
484,California,6,3777406,62928,22.9,Democrats,1,0
485,California,6,3778839,62947,22.9,Democrats,1,0
486,California,6,3780128,62979,22.9,Democrats,1,0
487,California,6,3781388,63014,22.9,Democrats,1,0
488,California,6,3786674,63163,22.9,Democrats,1,0
489,California,6,3788120,63215,22.9,Democrats,1,0
490,California,6,3788894,63236,22.9,Democrats,1,0
491,California,6,3789496,63247,22.9,Democrats,1,0
492,California,6,3789883,63249,22.9,Democrats,1,0
493,California,6,3791188,63260,22.9,Democrats,1,0
494,California,6,3792111,63284,22.9,Democrats,1,0
495,California,6,3793194,63340,22.9,Democrats,1,0
496,California,6,3794373,62965,22.9,Democrats,1,0
497,California,6,3795202,63000,22.9,Democrats,1,0
498,California,6,3795959,63120,22.9,Democrats,1,0
499,California,6,3797141,63132,22.9,Democrats,1,0
500,California,6,3798225,63155,22.9,Democrats,1,0
501,California,6,3799174,63167,22.9,Democrats,1,0
502,California,6,3800222,63206,22.9,Democrats,1,0
503,California,6,3801205,63251,22.9,Democrats,1,0
504,California,6,3801812,63143,22.9,Democrats,1,0
505,California,6,3802390,63145,22.9,Democrats,1,0
506,California,6,3803495,63150,22.9,Democrats,1,0
507,California,6,3804529,63205,22.9,Democrats,1,0
508,California,6,3805390,63224,22.9,Democrats,1,0
509,California,6,3806400,63254,22.9,Democrats,1,0
510,California,6,3807542,63290,22.9,Democrats,1,0
511,California,6,3808088,63309,22.9,Democrats,1,0
512,California,6,3808733,63337,22.9,Democrats,1,0
513,California,6,3810024,63353,22.9,Democrats,1,0
514,California,6,3811099,63370,22.9,Democrats,1,0
515,California,6,3811979,63425,22.9,Democrats,1,0
516,California,6,3812993,63490,22.9,Democrats,1,0
517,California,6,3814393,63543,22.9,Democrats,1,0
518,California,6,3815178,63555,22.9,Democrats,1,0
519,California,6,3816045,63586,22.9,Democrats,1,0
520,California,6,3817655,63597,22.9,Democrats,1,0
521,California,6,3818311,63610,22.9,Democrats,1,0
522,California,6,3816704,63662,22.9,Democrats,1,0
523,California,6,3866606,63709,22.9,Democrats,1,0
524,California,6,3868398,63649,22.9,Democrats,1,0
525,California,6,3868398,63648,22.9,Democrats,1,0
526,California,6,3868398,63648,22.9,Democrats,1,0
527,California,6,3868398,63648,22.9,Democrats,1,0
528,California,6,3874128,63710,22.9,Democrats,1,0
529,California,6,3875460,63748,22.9,Democrats,1,0
530,California,6,3903528,63805,22.9,Democrats,1,0
531,California,6,3905886,63870,22.9,Democrats,1,0
532,California,6,3906315,63874,22.9,Democrats,1,0
533,California,6,3907428,63877,22.9,Democrats,1,0
534,California,6,3914148,63954,22.9,Democrats,1,0
535,California,6,3918797,63972,22.9,Democrats,1,0
536,California,6,3921906,64002,22.9,Democrats,1,0
537,California,6,3925591,64041,22.9,Democrats,1,0
538,California,6,3930518,64083,22.9,Democrats,1,0
539,California,6,3932295,64085,22.9,Democrats,1,0
540,California,6,3933928,64086,22.9,Democrats,1,0
541,California,6,3945211,64127,22.9,Democrats,1,0
542,California,6,3951134,64132,22.9,Democrats,1,0
543,California,6,3957625,64146,22.9,Democrats,1,0
544,California,6,3966545,64174,22.9,Democrats,1,0
545,California,6,3975402,64219,22.9,Democrats,1,0
546,California,6,3977990,64220,22.9,Democrats,1,0
547,California,6,3980074,64225,22.9,Democrats,1,0
548,California,6,3996383,64265,22.9,Democrats,1,0
549,California,6,4004981,64296,22.9,Democrats,1,0
